Time,!a,!b,!c
10744.6309492948,10000,10000,101
10768.7140747951,10000,10000,103
10789.3582550761,10000,10000,104
10810.2190377265,10000,10000,104
10830.4858769863,10000,10000,106
10851.1460797425,10000,10000,110
10883.3538361024,10000,10000,105
10903.901048618,10000,10000,102
10929.0903720272,10000,10000,104
10950.0958680812,10000,10000,101
10975.2228743923,10000,10000,101
11000.947766303,10000,10000,103
11037.4229295754,10000,10000,103
11067.4411476075,10000,10000,101
11087.6775127465,10000,10000,103
11114.9248425708,10000,10000,106
11154.4377352672,10000,10000,108
11183.5987291209,10000,10000,111
11208.5072931341,10000,10000,114
11233.0863244705,10000,10000,112
11256.4451637451,10000,10000,112
11279.4217755591,10000,10000,113
11301.7612133724,10000,10000,110
11327.0975343986,10000,10000,110
11353.2075234638,10000,10000,111
11375.2713373382,10000,10000,109
11400.2721691726,10000,10000,109
11426.94511714,10000,10000,110
11448.9949623543,10000,10000,108
11475.9100976835,10000,10000,111
11504.3949690705,10000,10000,112
11527.8087976554,10000,10000,111
11550.1813755377,10000,10000,110
11581.0500992719,10000,10000,109
11606.121829422,10000,10000,109
11632.9754192379,10000,10000,108
11654.2878847693,10000,10000,108
11675.6262444683,10000,10000,111
11703.2905735632,10000,10000,114
11730.7203613168,10000,10000,115
11757.9998332748,10000,10000,111
11780.1192367819,10000,10000,110
11802.0282014398,10000,10000,111
11825.304239482,10000,10000,107
11849.4167388357,10000,10000,109
11876.0299110055,10000,10000,107
11897.3686867515,10000,10000,112
11917.4232941502,10000,10000,114
11944.1047537411,10000,10000,109
11969.1385853377,10000,10000,109
12004.409186254,10000,10000,108
12032.840612562,10000,10000,104
12056.4343366462,10000,10000,100
12085.9519114571,10000,10000,104
12112.3994220776,10000,10000,103
12133.7222829779,10000,10000,101
12158.7548751678,10000,10000,101
12178.8065065561,10000,10000,100
12201.8607220014,10000,10000,98
12231.4416231574,10000,10000,105
12262.6342958312,10000,10000,108
12283.9872875813,10000,10000,107
12304.981798934,10000,10000,107
12328.8430192371,10000,10000,106
12355.2053952686,10000,10000,107
12376.1848112715,10000,10000,104
12398.6667071919,10000,10000,106
12420.7145507932,10000,10000,106
12443.3779444522,10000,10000,105
12466.9427233016,10000,10000,105
12487.7937472582,10000,10000,104
12520.8414531337,10000,10000,108
12547.3257405225,10000,10000,103
12570.4790585754,10000,10000,101
12596.2086242327,10000,10000,103
12620.7404793399,10000,10000,106
12645.0745434238,10000,10000,105
12671.9720034133,10000,10000,108
12699.5581577099,10000,10000,110
12730.4557755293,10000,10000,108
12752.9512130745,10000,10000,110
12776.6411090084,10000,10000,108
12797.4038469999,10000,10000,108
12818.6632489877,10000,10000,112
12847.076947068,10000,10000,112
12870.2697506719,10000,10000,111
12890.3527473415,10000,10000,113
12911.376366583,10000,10000,113
12942.2160123798,10000,10000,112
12968.8442824947,10000,10000,112
12993.2496661297,10000,10000,110
13017.0165379378,10000,10000,108
13043.5940842558,10000,10000,108
13069.3674273862,10000,10000,110
13090.860009863,10000,10000,108
13110.972479054,10000,10000,110
13153.2242780233,10000,10000,109
13178.453996538,10000,10000,110
13202.8807194932,10000,10000,110
13224.3956883168,10000,10000,110
13249.2409704824,10000,10000,107
13274.9258976584,10000,10000,105
13295.7659898244,10000,10000,107
13316.3242825587,10000,10000,106
13343.796028547,10000,10000,105
13369.0062378264,10000,10000,106
13398.2725894261,10000,10000,106
13428.9465916447,10000,10000,105
13452.5994970142,10000,10000,104
13474.9332243827,10000,10000,105
13511.3702639613,10000,10000,103
13540.817247277,10000,10000,107
13579.2743250003,10000,10000,110
13602.3698324358,10000,10000,111
13627.1347100059,10000,10000,110
13653.8928187277,10000,10000,110
13679.7656103227,10000,10000,107
13708.7351224905,10000,10000,108
13729.1935611433,10000,10000,110
13767.6469730631,10000,10000,109
13790.8115228685,10000,10000,109
13813.4969031375,10000,10000,109
13836.0006238827,10000,10000,112
13858.3357924204,10000,10000,110
13883.0065092254,10000,10000,109
13903.6442719381,10000,10000,109
13924.7385491094,10000,10000,108
13951.9766447411,10000,10000,106
13984.0104104036,10000,10000,106
14004.3742664572,10000,10000,104
14025.3278517608,10000,10000,104
14056.3456733304,10000,10000,101
14099.5221604464,10000,10000,104
14125.0586714588,10000,10000,104
14150.4296443467,10000,10000,106
14173.9680826832,10000,10000,104
14203.5357747022,10000,10000,106
14229.4152304272,10000,10000,107
14268.8585617356,10000,10000,106
14295.7467312429,10000,10000,102
14329.2243526067,10000,10000,109
14356.7039231938,10000,10000,109
14380.2330815382,10000,10000,111
14401.6808710835,10000,10000,111
14430.0764975923,10000,10000,111
14456.6835196188,10000,10000,113
14481.0141010346,10000,10000,112
14502.2823830071,10000,10000,108
14526.5287148835,10000,10000,107
14546.9559828843,10000,10000,107
14573.1583635069,10000,10000,112
14597.778166257,10000,10000,113
14619.4483898717,10000,10000,113
14655.4331973382,10000,10000,113
14680.5626053765,10000,10000,114
14703.7384824213,10000,10000,113
14724.4237800775,10000,10000,112
14751.1537248477,10000,10000,111
14777.7650633391,10000,10000,109
14803.7893761159,10000,10000,108
14828.347943208,10000,10000,109
14849.663838024,10000,10000,111
14871.655046995,10000,10000,113
14893.2835517533,10000,10000,112
14913.4103203284,10000,10000,111
14934.8219877808,10000,10000,113
14956.2096637732,10000,10000,110
14977.5906292974,10000,10000,109
15007.5567848768,10000,10000,107
15030.2854169989,10000,10000,108
15056.0819988957,10000,10000,106
15079.5250663541,10000,10000,103
15108.3621016458,10000,10000,104
15131.8696194104,10000,10000,105
15155.3537341265,10000,10000,104
15176.8842522048,10000,10000,108
15199.0954378428,10000,10000,107
15220.1544638068,10000,10000,106
15241.1627188105,10000,10000,107
15263.4501512543,10000,10000,105
15285.9602895661,10000,10000,104
15311.656126745,10000,10000,106
15332.9501973806,10000,10000,104
15359.4951215134,10000,10000,102
15387.9871489786,10000,10000,104
15411.3820657406,10000,10000,104
15432.8271227283,10000,10000,108
15459.6460416844,10000,10000,110
15480.9931806626,10000,10000,109
15509.1704295521,10000,10000,109
15530.5608224861,10000,10000,106
15557.1726759456,10000,10000,103
15577.8486840993,10000,10000,103
15599.1164959296,10000,10000,103
15625.575241402,10000,10000,104
15663.4936922066,10000,10000,101
15693.3977143093,10000,10000,104
15719.2373783296,10000,10000,106
15742.2975474026,10000,10000,107
15771.4816755639,10000,10000,110
15791.6043464692,10000,10000,106
15826.6488966774,10000,10000,107
15853.6935996152,10000,10000,103
15874.2110492362,10000,10000,105
15894.88862165,10000,10000,105
15916.7827593793,10000,10000,106
15941.0120259057,10000,10000,107
15963.0314926797,10000,10000,108
15986.6284034193,10000,10000,109
16007.1366803404,10000,10000,107
16027.5588981533,10000,10000,104
16050.6744716659,10000,10000,102
16073.9894038491,10000,10000,99
16095.4549297442,10000,10000,98
16118.7410736416,10000,10000,97
16138.8288128656,10000,10000,93
16167.3040893565,10000,10000,95
16190.7076363012,10000,10000,94
16212.5790358622,10000,10000,92
16232.824844595,10000,10000,92
16258.0648661557,10000,10000,93
16282.7790986801,10000,10000,92
16303.7300431331,10000,10000,88
16325.4888450731,10000,10000,89
16347.9818140416,10000,10000,88
16376.0676107804,10000,10000,89
16396.4901900063,10000,10000,90
16416.855129647,10000,10000,91
16452.8664979208,10000,10000,92
16475.2999975436,10000,10000,88
16504.0940255652,10000,10000,89
16532.7155131887,10000,10000,89
16559.5571543907,10000,10000,89
16588.7044861157,10000,10000,90
16608.7125242408,10000,10000,87
16632.3303623047,10000,10000,91
16653.2892906896,10000,10000,89
16674.0648642607,10000,10000,88
16710.849239591,10000,10000,88
16744.0092886635,10000,10000,87
16764.0462181948,10000,10000,88
16787.0648377115,10000,10000,89
16808.7486176959,10000,10000,88
16832.5529797123,10000,10000,90
16854.9932636745,10000,10000,86
16875.6414385218,10000,10000,88
16896.2891361967,10000,10000,88
16919.506153003,10000,10000,92
16953.2484335601,10000,10000,96
16978.5127176567,10000,10000,96
17001.7439485172,10000,10000,95
17037.1946853838,10000,10000,94
17059.5134381409,10000,10000,97
17080.7699696436,10000,10000,97
17104.3402948198,10000,10000,97
17124.9779719664,10000,10000,95
17146.3674312006,10000,10000,92
17205.8209900393,10000,10000,94
17231.98790262,10000,10000,96
17252.6083486542,10000,10000,95
17272.932966086,10000,10000,95
17293.9432457599,10000,10000,97
17316.2808879665,10000,10000,101
17338.7476564115,10000,10000,101
17366.2813547164,10000,10000,105
17388.1989819329,10000,10000,101
17408.6761114628,10000,10000,95
17433.3710942225,10000,10000,95
17460.8282995218,10000,10000,95
17483.7422615421,10000,10000,93
17505.6030872634,10000,10000,91
17531.9854205951,10000,10000,92
17557.3147537064,10000,10000,90
17580.390729523,10000,10000,90
17600.9841655888,10000,10000,91
17627.9499563907,10000,10000,91
17661.6287496011,10000,10000,87
17687.9900078767,10000,10000,91
17710.9618469719,10000,10000,89
17730.9865880684,10000,10000,88
17759.0721455969,10000,10000,90
17779.7270836174,10000,10000,90
17799.8648311414,10000,10000,90
17829.4386384909,10000,10000,89
17856.507188386,10000,10000,95
17876.5432263355,10000,10000,96
17899.1513032539,10000,10000,92
17932.674958248,10000,10000,96
17956.5985852728,10000,10000,99
17978.4341351823,10000,10000,102
18001.2681341493,10000,10000,104
18021.5258780674,10000,10000,101
18045.7776274559,10000,10000,100
18067.6209435517,10000,10000,99
18090.8802935406,10000,10000,98
18115.8173842645,10000,10000,100
18137.4503521054,10000,10000,98
18157.5536227654,10000,10000,96
18178.074963592,10000,10000,95
18208.7152793004,10000,10000,94
18230.6121372767,10000,10000,95
18252.8898040895,10000,10000,95
18276.1255916641,10000,10000,96
18299.9025945224,10000,10000,98
18331.8083839544,10000,10000,100
18355.7953005543,10000,10000,99
18379.4927953113,10000,10000,97
18399.7309557146,10000,10000,100
18421.4844996494,10000,10000,101
18447.0462822247,10000,10000,97
18470.0307670465,10000,10000,96
18510.5910833287,10000,10000,95
18531.9741063304,10000,10000,100
18553.3777712994,10000,10000,100
18580.720919772,10000,10000,100
18617.0890347598,10000,10000,102
18637.4008185915,10000,10000,98
18699.491582347,10000,10000,99
18723.5539004004,10000,10000,101
18747.6345523289,10000,10000,101
18769.9050085897,10000,10000,99
18792.5679004535,10000,10000,95
18812.7914101533,10000,10000,99
18834.7419267774,10000,10000,100
18856.4616041434,10000,10000,100
18876.5482931043,10000,10000,101
18899.7952950122,10000,10000,101
18923.1520681115,10000,10000,99
18954.4690419251,10000,10000,97
18974.5832257512,10000,10000,95
18995.6489522069,10000,10000,94
19025.327799459,10000,10000,94
19073.0538536793,10000,10000,92
19094.1135074362,10000,10000,90
19125.9038443312,10000,10000,92
19146.8387927144,10000,10000,95
19171.3711208027,10000,10000,96
19191.9797417063,10000,10000,99
19227.4213797352,10000,10000,99
19250.1986049065,10000,10000,98
19270.2841708118,10000,10000,101
19290.8018338874,10000,10000,101
19320.5225151889,10000,10000,100
19341.823581534,10000,10000,97
19363.2637882062,10000,10000,95
19386.7337010483,10000,10000,97
19410.0466720128,10000,10000,98
19432.2087694258,10000,10000,97
19455.1532017171,10000,10000,100
19484.0163073907,10000,10000,98
19513.4913612015,10000,10000,97
19538.7973228842,10000,10000,94
19569.2273545369,10000,10000,92
19590.9765842929,10000,10000,93
19613.2384318181,10000,10000,93
19645.7942412465,10000,10000,94
19669.6881978657,10000,10000,95
19694.4808450014,10000,10000,97
19716.2149310247,10000,10000,98
19749.9398669093,10000,10000,97
19773.0144655199,10000,10000,99
19793.1636433438,10000,10000,102
19814.8975196532,10000,10000,102
19839.9971984208,10000,10000,102
19865.9920427814,10000,10000,102
19886.3576768512,10000,10000,103
19916.4474639621,10000,10000,102
19941.4315366332,10000,10000,104
19963.013020696,10000,10000,101
19985.0345594546,10000,10000,97
20023.2532097151,10000,10000,99
20044.4720619385,10000,10000,100
20066.5145901408,10000,10000,98
20087.4429677124,10000,10000,99
20109.9593168807,10000,10000,99
20139.978300005,10000,10000,97
20160.9355673869,10000,10000,95
20185.0667570274,10000,10000,96
20205.7314591335,10000,10000,94
20229.8450746192,10000,10000,95
20254.2828456016,10000,10000,95
20274.5260506291,10000,10000,97
20300.8720617193,10000,10000,97
20341.4479752236,10000,10000,94
20361.5787895058,10000,10000,95
20382.1402030293,10000,10000,96
20411.9213596246,10000,10000,100
20436.1566854719,10000,10000,102
20456.6795036627,10000,10000,102
20486.0929691234,10000,10000,99
20508.9376072502,10000,10000,99
20530.6578134296,10000,10000,100
20551.4637717453,10000,10000,100
20571.6648238772,10000,10000,99
20598.6755789579,10000,10000,99
20620.2015049472,10000,10000,99
20647.0629798429,10000,10000,95
20670.7638899455,10000,10000,96
20691.3215111804,10000,10000,95
20727.2646356537,10000,10000,96
20747.6000948182,10000,10000,96
20774.1714813799,10000,10000,98
20795.4431957123,10000,10000,97
20817.4182612924,10000,10000,101
20842.6174947183,10000,10000,100
20867.2619118594,10000,10000,98
20893.6611482176,10000,10000,98
20921.8975954147,10000,10000,97
20945.0197059967,10000,10000,100
20972.383578211,10000,10000,101
20992.4972907833,10000,10000,99
21013.8299694053,10000,10000,102
21059.2461146208,10000,10000,100
21079.3752569045,10000,10000,106
21103.9431527562,10000,10000,108
21124.86793394,10000,10000,108
21158.9640598494,10000,10000,108
21180.3306005112,10000,10000,110
21204.6071290334,10000,10000,110
21230.451264546,10000,10000,114
21258.0108107735,10000,10000,116
21278.3282805597,10000,10000,116
21313.6297699475,10000,10000,119
21334.0850156875,10000,10000,119
21362.5069453596,10000,10000,118
21389.4764702378,10000,10000,118
21411.9053975273,10000,10000,119
21435.4703578159,10000,10000,121
21459.3902148811,10000,10000,118
21479.5086009897,10000,10000,119
21500.9695334639,10000,10000,114
21531.7715731867,10000,10000,113
21563.7916745463,10000,10000,112
21585.5278957733,10000,10000,108
21606.2341797871,10000,10000,104
21626.6876184069,10000,10000,109
21653.1879101284,10000,10000,110
21677.6260592751,10000,10000,109
21707.3129687085,10000,10000,106
21730.4738232246,10000,10000,105
21755.150702026,10000,10000,106
21775.3977176015,10000,10000,105
21804.7502921751,10000,10000,103
21830.6051498535,10000,10000,103
21853.3411785149,10000,10000,102
21876.8048462764,10000,10000,105
21903.0549958338,10000,10000,105
21932.2337630679,10000,10000,106
21952.4189078035,10000,10000,106
21979.993838116,10000,10000,105
22004.0912104348,10000,10000,104
22036.1548520029,10000,10000,104
22060.4877393474,10000,10000,101
22085.4210636338,10000,10000,104
22111.4125688554,10000,10000,104
22132.9500050294,10000,10000,99
22161.0896496598,10000,10000,99
22190.1901101103,10000,10000,99
22215.9962258197,10000,10000,99
22240.0772037033,10000,10000,99
22260.7825670429,10000,10000,100
